"esm_case","obj_1_wt","obj_2_wt","obj_3_wt","cost_wt","SDE_2_agg_delta_abs","SDL_3_agg_delta_abs","AWY_1_agg_delta_abs","cost","budget","wt_case","awy_1","sdr_1","sdr_biophysical_table_path","awy_biophysical_table_uri","cat_scen","AWY_1_rast_delta_abs","SDE_2_rast_delta_abs","SDL_3_rast_delta_abs"
9,0.25,0.75,0,0,4482660.03029162,16227014.816314,-7297386.11469016,1874880000,1.875e+09,14,10,4,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_14_6_9_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_14_6_9_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_14_6_9_4_1.875e+09.tif"
9,0,1,0,0,4478879.03827707,16227568.5122996,-7304145.72697037,1874880000,1.875e+09,15,10,4,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs.csv","A","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_15_6_9_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_15_6_9_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_15_6_9_4_1.875e+09.tif"
10,0,0,1,0,2.39094713968205,-544.791707323134,2527977.33259528,624416000,6.25e+08,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_10_4_6.25e+08.tif"
10,0.25,0,0.75,0,2.39094713968205,-544.791707323134,2527977.33259528,624416000,6.25e+08,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_10_4_6.25e+08.tif"
10,0.5,0,0.5,0,979.79878234315,2599.42143959347,4685416.01583542,1249024000,1.25e+09,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_10_4_1.25e+09.tif"
10,0.75,0,0.25,0,21773.6890508687,148775.249264939,4644029.34283412,1249952000,1.25e+09,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_10_4_1.25e+09.tif"
10,1,0,0,0,343057.622821482,5788621.6556215,-3483823.65670308,1249849600,1.25e+09,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_10_4_1.25e+09.tif"
10,0,0.25,0.75,0,24703.870368756,291472.869457971,4608454.00237468,1249772800,1.25e+09,6,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_6_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_6_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_6_6_10_4_1.25e+09.tif"
10,0.25,0.25,0.5,0,65222.0545183548,841973.946243537,4367498.88185707,1249491200,1.25e+09,7,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_7_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_7_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_7_6_10_4_1.25e+09.tif"
10,0.5,0.25,0.25,0,179333.40475995,2977099.24895998,2608459.84943977,1249113600,1.25e+09,8,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_8_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_8_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_8_6_10_4_1.25e+09.tif"
10,0.75,0.25,0,0,318937.808165381,6395739.33255668,-4537624.65166098,1249907200,1.25e+09,9,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_9_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_9_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_9_6_10_4_1.25e+09.tif"
10,0,0.5,0.5,0,157022.468776426,2622358.92729617,2985317.14659866,1249344000,1.25e+09,10,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_10_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_10_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_10_6_10_4_1.25e+09.tif"
10,0.25,0.5,0.25,0,286833.880026203,5518236.95312359,-1170736.7017515,1249927408,1.25e+09,11,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_11_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_11_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_11_6_10_4_1.25e+09.tif"
10,0.5,0.5,0,0,313837.974314705,6405651.85328516,-4601508.88462527,1249907200,1.25e+09,12,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_12_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_12_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_12_6_10_4_1.25e+09.tif"
10,0,0.75,0.25,0,307056.60700609,6113359.8212852,-2543033.56313381,1249837808,1.25e+09,13,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_13_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_13_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_13_6_10_4_1.25e+09.tif"
10,0,0,1,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1.25e+09,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_10_4_1.25e+09.tif"
10,0.25,0,0.75,0,3.16990729618149,-1460.34944649616,4685569.15863932,1248832000,1.25e+09,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_10_4_1.25e+09.tif"
10,0.75,0,0.25,0,20578.7888932523,139779.871417465,2485108.80706503,624576000,6.25e+08,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_10_4_6.25e+08.tif"
10,1,0,0,0,259451.782860553,4023739.99631576,-2399219.21464879,624947200,6.25e+08,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_10_4_6.25e+08.tif"
10,0,0.25,0.75,0,21688.1623844542,255153.48786735,2455346.28200769,623865600,6.25e+08,6,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_6_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_6_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_6_6_10_4_6.25e+08.tif"
10,0.25,0.25,0.5,0,59879.1633642471,769575.769132318,2230042.96532216,623571200,6.25e+08,7,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_7_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_7_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_7_6_10_4_6.25e+08.tif"
10,0.5,0.25,0.25,0,160815.79974498,2590092.4534703,733971.009286967,624652800,6.25e+08,8,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_8_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_8_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_8_6_10_4_6.25e+08.tif"
10,0.75,0.25,0,0,238531.137258103,4507260.19657092,-3231243.30082645,624960000,6.25e+08,9,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_9_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_9_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_9_6_10_4_6.25e+08.tif"
10,0,0.5,0.5,0,140713.814723929,2289410.61817926,1050994.1707451,623769600,6.25e+08,10,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_10_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_10_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_10_6_10_4_6.25e+08.tif"
10,0.25,0.5,0.25,0,224986.150035692,4123868.80324715,-1426468.45183119,624857600,6.25e+08,11,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_11_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_11_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_11_6_10_4_6.25e+08.tif"
10,0.5,0.5,0,0,233184.66152229,4517159.29815755,-3300041.35269021,624960000,6.25e+08,12,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_12_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_12_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_12_6_10_4_6.25e+08.tif"
10,0,0.75,0.25,0,229108.836406158,4289809.93645543,-1835759.93532972,624857600,6.25e+08,13,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_13_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_13_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_13_6_10_4_6.25e+08.tif"
10,0.25,0.75,0,0,231397.876802932,4518382.03949411,-3330513.10367834,624960000,6.25e+08,14,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_14_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_14_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_14_6_10_4_6.25e+08.tif"
10,0.25,0.75,0,0,311984.981812264,6406868.02364803,-4633473.88311854,1249907200,1.25e+09,14,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_14_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_14_6_10_4_1.25e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_14_6_10_4_1.25e+09.tif"
10,0.5,0,0.5,0,979.01982218665,3514.97917876649,2527824.18979139,624608000,6.25e+08,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_10_4_6.25e+08.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_10_4_6.25e+08.tif"
10,0,0,1,0,30.2886079763745,3009.7364401558,6541469.24524755,1874828800,1.875e+09,1,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_1_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_1_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_1_6_10_4_1.875e+09.tif"
10,0.25,0,0.75,0,30.2886079763745,3009.7364401558,6541469.24524755,1874828800,1.875e+09,2,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_2_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_2_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_2_6_10_4_1.875e+09.tif"
10,0.5,0,0.5,0,3767.16538168669,23424.9321856523,6537520.08401424,1874400000,1.875e+09,3,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_3_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_3_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_3_6_10_4_1.875e+09.tif"
10,0.75,0,0.25,0,31862.4371059893,248074.502048834,6479699.75546932,1874099200,1.875e+09,4,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_4_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_4_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_4_6_10_4_1.875e+09.tif"
10,1,0,0,0,399398.208843401,7151696.74416067,-4452676.29250405,1874988800,1.875e+09,5,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_5_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_5_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_5_6_10_4_1.875e+09.tif"
10,0,0.25,0.75,0,44559.6384394599,575028.920238797,6395625.90981635,1874003200,1.875e+09,6,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_6_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_6_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_6_6_10_4_1.875e+09.tif"
10,0.25,0.25,0.5,0,88638.1605802983,1227927.00246821,6115700.81793614,1874508800,1.875e+09,7,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_7_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_7_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_7_6_10_4_1.875e+09.tif"
10,0.5,0.25,0.25,0,185358.714724972,3098799.55334001,4601657.50757989,1873548800,1.875e+09,8,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_8_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_8_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_8_6_10_4_1.875e+09.tif"
10,0.75,0.25,0,0,373947.626345804,7801289.58677024,-5559404.57627126,1874887408,1.875e+09,9,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_9_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_9_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_9_6_10_4_1.875e+09.tif"
10,0,0.5,0.5,0,163518.460100964,2765254.5586931,4956949.12019182,1873779200,1.875e+09,10,2.5,1,"C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","C:/Users/bpb/Dropbox/Tana optim set/biophysical_table_s_2016-07-06_cleaner_wSWY-Kcs_testalt.csv","B","Maragua obj scores from 2017-02-04 solns/mv_rast_awy_4_Maragua_10_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_sed_4_Maragua_10_6_10_4_1.875e+09.tif","Maragua obj scores from 2017-02-04 solns/mv_rast_soil_4_Maragua_10_6_10_4_1.875e+09.tif"
